Kode Kecamatan,Kecamatan,Kode Kelurahan,Kelurahan,Jenjang Sekolah,Nama Sekolah,Alamat Sekolah,Jumlah Murid,Jumlah Guru
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,PAUD,PAUD Indriasana,RW 07,16,2
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Kuncup Harapan,RW 01,23,3
32.73.07,sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Akhlaq,RW 01,24,3
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Akhlaq,RW 01,80,4
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Barokah,RT 01 RW 03,20,4
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Barokah,RT 01 RW 03,97,6
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Barokah,RT 01 RW 03,17,2
32.73.07,sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Nurul Falah,RW 02,61,5
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Nurul Falah,RW 02,115,5
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Mustofa,RT 06 RW 03,60,5
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Mustofa,RT 06 RW 03,57,6
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Mustofa,RT 06 RW 03,40,4
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Nur Anka,RW 05,27,4
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Falah,RT 02 RW 03,7,3
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Falah,RT 02 RW 03,17,3
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Jihad,RT 03 RW 03,63,4
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,TK / RA / DTA,Al Jihad,RT 03 RW 03,33,2
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,SD,SDN 136 Sukawarna,Jl. Sariwangi No 1,600,36
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,SD,SDN 096 Sarijadi Selatan,Jl. Sarimadu Bawah Sarijadi Blok 26,482,25
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,SD,SDN 207 Cibogo,Jl. Cibogo No. 78,261,14
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,SD,SDN 072 Sukasari,Jl. Dr Djundjunan No 79,125,10
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,SMP,Smp Negeri 26,Jl. Sarimanah Blok 23,768,42
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,SMP,Smp Indra,Jl. Prof Surya Sumantri,307,16
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,SMA,SMA Indra,Jl. Prof Surya Sumantri,66,16
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,SMK,Smk Indra,Jl. Prof Surya Sumantri,538,28
32.73.07,Sukajadi,32.73.07.1003,Sukawarna,SLB,Slb D Ypac,Jl. Mustang No.46 RT 01 RW 07,22,54
32.73.07,Sukajadi,32.73.07.1004,Sukagalih,SMP,Smp Semi Palaar,Jl. Sukamulya No.77-79,60,9
32.73.07,Sukajadi,32.73.07.1004,Sukagalih,SMA,SMA Pgri 1,Jl. Sukagalih No.80,518,34
32.73.07,Sukajadi,32.73.07.1002,Cipedes,PAUD,POS PAUD Merak,Jl. Karang Tineung RT 06/01,20,3
32.73.07,Sukajadi,32.73.07.1002,Cipedes,PAUD,POS PAUD Gelatik,Jl. Karang Tineung RT 02/01,25,3
32.73.07,sukajadi,32.73.07.1002,Cipedes,PAUD,POS PAUD Kenari,Jl. Karang Arum RT 02/02,20,3
32.73.07,Sukajadi,32.73.07.1002,Cipedes,PAUD,POS PAUD Pelangi,Karang Tineung Dalam RT 05/05,35,4
32.73.07,Sukajadi,32.73.07.1002,Cipedes,PAUD,POS PAUD Al Bayan,Jl. Sukagalih Ii RT 05/09,28,3
32.73.07,Sukajadi,32.73.07.1002,Cipedes,PAUD,POS PAUD Ashodiqin,Jl. Sukagalih Ii RT 05/08,25,3
32.73.07,Sukajadi,32.73.07.1002,Cipedes,TK,TK Tunas Harapan,Gg. H Gojali RT 02/07,46,7
32.73.07,Sukajadi,32.73.07.1002,Cipedes,TK,TK Bhayangkari,Jl. Sukagalih Aspol RW 09,32,3
32.73.07,Sukajadi,32.73.07.1002,Cipedes,TK,TKQ Shaadatulrohman,Jl. Karang Arum RT 01/02,50,5
32.73.07,Sukajadi,32.73.07.1002,Cipedes,TK,TK Hidayatul Amanah,Karang Tineung Dalam RT 05/09,30,8
32.73.07, Sukajadi,32.73.07.1002,Cipedes,SD,SDN Luginasari,Komp Aspol RT 01/09,644,29
32.73.07,Sukajadi,32.73.07.1002,Cipedes,SD,SDN Sukajadi 194,Jl. Karang Tineung RT 01/03,436,15
32.73.07, Sukajadi,32.73.07.1002,Cipedes,SD,SD Al Ikhlas,Jl. Karang Tineung RT 01/04,382,12
32.73.07,Sukajadi,32.73.07.1002,Cipedes,SD,SD Citra Winaya,Jl. Cipedes Tengan RT 05/06,207,10
32.73.07,Sukajadi,32.73.07.1002,Cipedes,SD,Muhamadiyah,Gg. H Gojali RT 06/07,368,17
32.73.07,Sukajadi,32.73.07.1002,Cipedes,SD,SD Ibnu Tamiyah,Gg. H Gojali RT 01/07,324,12
32.73.07,Sukajadi,32.73.07.1002,Cipedes,SMP,Smp Muhamadiyah,Gg. H Gojali RT 06/07,517,20
32.73.07,Sukajadi,32.73.07.1002,Cipedes,SLB,Slb Muhammadiyah Cipedes,Gg. H Gojali RT 07/07,52,9
